D,P,stone_dens,cluster_area,n_ants,cluster_dens,distance,cumulative,timepoints,ID,colony
0.133333333,0.066666667,0.043182163,-0.397809542,-0.314860585,0.02874013,28.74956537,0.2,75,R34.1,R34
0.333333333,0.2,0.039054456,-0.397809542,-0.314860585,0.02874013,24.35318309,0.533333333,75,R34.2,R34
0.6,0.066666667,0.041912099,-0.397809542,-0.314860585,0.02874013,34.18450118,0.666666667,75,R34.3,R34
0,0,0.007879372,-0.065002494,-0.740284536,0.023444553,35.6458669,0,75,R29.1,R29
0.266666667,0,0.051215919,-0.065002494,-0.740284536,0.023444553,23.10189203,0.266666667,75,R29.2,R29
0,0,0.007879372,-0.065002494,-0.740284536,0.023444553,42.28854254,0,75,R29.3,R29
0.666666667,0.266666667,0.108195012,-0.0808696,-0.852316861,0.022051185,20.63009738,0.933333333,75,R05.1,R05
0.6,0.2,0.05714778,-0.0808696,-0.852316861,0.022051185,23.80243775,0.8,75,R05.2,R05
1.133333333,0,0.159585268,-0.0808696,-0.852316861,0.022051185,25.43480632,1.133333333,75,R05.3,R05
0,0,0.03652739,-0.564152765,0.263848705,0.035516177,40.24734389,0,90,R54.1,R54
1.266666667,1.133333333,0.376029187,-0.564152765,0.263848705,0.035516177,27.94629812,2.4,90,R54.2,R54
0.266666667,0.133333333,0.082795417,-0.564152765,0.263848705,0.035516177,24.24298552,0.4,90,R54.3,R54
0.133333333,0.333333333,0.025038397,-0.342199042,-0.529177454,0.028147787,29.09450808,0.466666667,90,R34.1,R34
0.666666667,0.333333333,0.056390824,-0.342199042,-0.529177454,0.028147787,24.47848626,1,90,R34.2,R34
0.266666667,0.133333333,0.09144458,-0.342199042,-0.529177454,0.028147787,33.86160903,0.4,90,R34.3,R34
0,0,0.007879372,0.08104161,-0.072358639,0.024306292,29.93017005,0,90,R29.1,R29
0.066666667,0,0.07091435,0.08104161,-0.072358639,0.024306292,27.96864391,0.066666667,90,R29.2,R29
0,0,0.007879372,0.08104161,-0.072358639,0.024306292,32.69872135,0,90,R29.3,R29
0.6,0.266666667,0.142603759,0.109732437,-0.380748106,0.022880954,20.21695852,0.866666667,90,R05.1,R05
0.266666667,0.466666667,0.065768474,0.109732437,-0.380748106,0.022880954,23.82997807,0.733333333,90,R05.2,R05
0.333333333,0,0.248687043,0.109732437,-0.380748106,0.022880954,25.53061503,0.333333333,90,R05.3,R05
0.133333333,0,0.047485607,-0.174823671,0.991560456,0.036302043,39.50435308,0.133333333,105,R54.1,R54
1.4,0.266666667,0.422256628,-0.174823671,0.991560456,0.036302043,28.64841373,1.666666667,105,R54.2,R54
0.666666667,0.266666667,0.113234909,-0.174823671,0.991560456,0.036302043,24.84446941,0.933333333,105,R54.3,R54
0,0,0.015240763,-0.037855047,0.042334196,0.02927355,29.19045221,0,105,R34.1,R34
0.4,0.333333333,0.078974865,-0.037855047,0.042334196,0.02927355,24.47717869,0.733333333,105,R34.2,R34
0.666666667,0.4,0.110971808,-0.037855047,0.042334196,0.02927355,33.78323154,1.066666667,105,R34.3,R34
0,0,0.007879372,-0.296536226,0.372925293,0.025371351,30.17191447,0,105,R29.1,R29
0.066666667,0,0.078793722,-0.296536226,0.372925293,0.025371351,27.78728243,0.066666667,105,R29.2,R29
0,0,0.007879372,-0.296536226,0.372925293,0.025371351,32.9023472,0,105,R29.3,R29
0.533333333,0,0.192167261,0.327905967,0.1851344,0.023872006,19.61073586,0.533333333,105,R05.1,R05
0.333333333,0.2,0.067823739,0.327905967,0.1851344,0.023872006,24.39392911,0.533333333,105,R05.2,R05
1.066666667,0.2,0.292316349,0.327905967,0.1851344,0.023872006,25.09161147,1.266666667,105,R05.3,R05
0.066666667,0,0.058443824,0.862259712,1.23413104,0.035363228,39.33276033,0.066666667,120,R54.1,R54
0.866666667,0.2,0.536039448,0.862259712,1.23413104,0.035363228,28.55893763,1.066666667,120,R54.2,R54
0.466666667,0,0.160720516,0.862259712,1.23413104,0.035363228,25.10702459,0.466666667,120,R54.3,R54
0.133333333,0,0.026671336,-0.608679568,0.328090022,0.030595408,29.00507815,0.133333333,120,R34.1,R34
1,0.266666667,0.157220506,-0.608679568,0.328090022,0.030595408,24.79028719,1.266666667,120,R34.2,R34
0.266666667,0.133333333,0.125736298,-0.608679568,0.328090022,0.030595408,33.86440225,0.4,120,R34.3,R34
0.133333333,0,0.019698431,1.109045849,0.26160431,0.023831092,35.81307399,0.133333333,120,R29.1,R29
0,0,0.078793722,1.109045849,0.26160431,0.023831092,22.77960331,0,120,R29.2,R29
0,0.066666667,0.015758744,1.109045849,0.26160431,0.023831092,42.22077455,0.066666667,120,R29.3,R29
0.733333333,0.333333333,0.251042034,-0.062348602,-0.380748106,0.023108461,19.8412077,1.066666667,120,R05.1,R05
0.266666667,0.333333333,0.071173059,-0.062348602,-0.380748106,0.023108461,24.5691692,0.6,120,R05.2,R05
1.2,0.133333333,0.386972111,-0.062348602,-0.380748106,0.023108461,24.82195933,1.333333333,120,R05.3,R05
0.2,0,0.07305478,0.763318061,0.58727615,0.03436657,40.49301623,0.2,135,R54.1,R54
